,timestamp,deviceId,temperature,humidity,pressure,vibration,anomaly,anomaly_score
738,2026-08-17T06:47:36.463Z,pythondevice01,30.63,57.11,1007.79,0.61,0.10253206743585863,
739,2026-08-17T06:47:38.481Z,pythondevice01,25.92,56.15,990.2,0.89,-0.00017593045379737937,
740,2026-08-17T06:47:40.487Z,pythondevice01,22.37,79.07,1026.88,0.83,-0.011864527341795217,
741,2026-08-17T06:47:42.490Z,pythondevice01,22.39,71.46,993.45,0.9,0.011104511969627029,
742,2026-08-17T06:47:44.620Z,pythondevice01,29.09,45.71,993.02,0.13,-0.00211161231999768,
743,2026-08-17T06:47:46.662Z,pythondevice01,33.51,52.65,1002.29,0.57,0.06795569283482772,
744,2026-08-17T06:47:48.728Z,pythondevice01,33.67,52.33,1027.69,0.19,0.026887534006289848,
745,2026-08-17T06:47:50.740Z,pythondevice01,22.9,42.54,996.35,0.84,0.013895427192735066,
746,2026-08-17T06:47:52.748Z,pythondevice01,29.1,70.11,1002.75,0.57,0.09523030366857993,
747,2026-08-17T06:47:54.753Z,pythondevice01,21.9,65.87,992.11,0.31,0.0015018439807452655,
748,2026-08-17T06:47:56.757Z,pythondevice01,28.23,76.42,1002.91,0.49,0.08686692919780492,
749,2026-08-17T06:47:58.761Z,pythondevice01,20.04,62.31,1000.16,0.98,-0.018882748275930283,
750,2026-08-17T06:48:00.765Z,pythondevice01,24.69,64.79,1019.74,0.43,0.09766525964094391,
751,2026-08-17T06:48:02.769Z,pythondevice01,29.45,66.61,1006.98,0.62,0.10989036470605779,
752,2026-08-17T06:48:04.776Z,pythondevice01,21.59,76.41,993.98,0.35,-0.002907519200148645,
753,2026-08-17T06:48:06.810Z,pythondevice01,27.09,66.69,1027.26,0.65,0.07134387521953828,
754,2026-08-17T06:48:08.814Z,pythondevice01,34.66,56.81,997.61,0.64,0.034059927105168364,
755,2026-08-17T06:48:10.818Z,pythondevice01,29.33,69.61,1021.48,0.25,0.07318627577167086,
756,2026-08-17T06:48:12.828Z,pythondevice01,25.34,54.94,1016.27,0.41,0.09596919990754699,
757,2026-08-17T06:48:14.835Z,pythondevice01,28.17,66.64,991.55,0.18,0.0046339368342621645,
