,timestamp,deviceId,temperature,humidity,pressure,vibration
746,2026-08-17T06:47:52.748Z,pythondevice01,29.1,70.11,1002.75,0.57
747,2026-08-17T06:47:54.753Z,pythondevice01,21.9,65.87,992.11,0.31
748,2026-08-17T06:47:56.757Z,pythondevice01,28.23,76.42,1002.91,0.49
749,2026-08-17T06:47:58.761Z,pythondevice01,20.04,62.31,1000.16,0.98
750,2026-08-17T06:48:00.765Z,pythondevice01,24.69,64.79,1019.74,0.43
751,2026-08-17T06:48:02.769Z,pythondevice01,29.45,66.61,1006.98,0.62
752,2026-08-17T06:48:04.776Z,pythondevice01,21.59,76.41,993.98,0.35
753,2026-08-17T06:48:06.810Z,pythondevice01,27.09,66.69,1027.26,0.65
754,2026-08-17T06:48:08.814Z,pythondevice01,34.66,56.81,997.61,0.64
755,2026-08-17T06:48:10.818Z,pythondevice01,29.33,69.61,1021.48,0.25
756,2026-08-17T06:48:12.828Z,pythondevice01,25.34,54.94,1016.27,0.41
757,2026-08-17T06:48:14.835Z,pythondevice01,28.17,66.64,991.55,0.18
758,2026-08-17T06:48:16.851Z,pythondevice01,21.2,59.87,990.6,0.64
759,2026-08-17T06:48:18.857Z,pythondevice01,22.99,40.28,999.38,0.88
760,2026-08-17T06:48:20.870Z,pythondevice01,31.83,73.72,1017.05,0.58
761,2026-08-17T06:48:22.875Z,pythondevice01,21.35,54.83,1018.24,0.39
762,2026-08-17T06:48:24.881Z,pythondevice01,29.69,45.13,990.68,0.76
763,2026-08-17T06:48:26.930Z,pythondevice01,30.45,78.43,998.12,0.28
764,2026-08-17T06:48:28.946Z,pythondevice01,30.27,64.1,996.68,0.79
765,2026-08-17T06:48:30.953Z,pythondevice01,24.64,76.68,998.46,0.91
