timestamp,deviceId,temperature,humidity,pressure,vibration
2026-08-05T11:28:17.166338+05:30,pythondevice01,22.8,49.53,1001.1,0.36
2026-08-05T11:28:19.481661+05:30,pythondevice01,22.43,71.31,1022.51,0.84
2026-08-05T11:28:21.725535+05:30,pythondevice01,28.61,47.95,1017.46,0.56
2026-08-05T11:28:24.843074+05:30,pythondevice01,30.75,78.24,999.27,0.68
2026-08-05T11:28:27.182130+05:30,pythondevice01,24.94,54.11,1014.12,0.42
2026-08-05T11:28:30.172106+05:30,pythondevice01,23.76,68.69,997.26,0.4
2026-08-05T11:28:32.742657+05:30,pythondevice01,24.55,41.51,1011.85,0.46
2026-08-05T11:28:35.278531+05:30,pythondevice01,26.93,78.62,1028.67,0.5
2026-08-05T11:28:39.614587+05:30,pythondevice01,26.28,64.7,1003.91,0.8
2026-08-05T11:28:42.324507+05:30,pythondevice01,33.34,74.38,1011.5,0.31
2026-08-05T11:28:44.549397+05:30,pythondevice01,27.38,79.38,1004.04,0.39
2026-08-05T11:28:47.662977+05:30,pythondevice01,33.49,56.2,1022.42,0.25
2026-08-05T11:28:49.871096+05:30,pythondevice01,25.62,45.33,1005.0,0.86
2026-08-05T11:28:52.085201+05:30,pythondevice01,21.53,54.49,1005.03,0.31
2026-08-05T11:28:54.416889+05:30,pythondevice01,32.0,56.73,1017.63,0.49
2026-08-05T11:28:56.632338+05:30,pythondevice01,33.57,74.63,1006.56,0.36
2026-08-05T11:28:58.888835+05:30,pythondevice01,23.88,62.75,1018.66,0.84
2026-08-05T11:29:01.219405+05:30,pythondevice01,21.81,57.86,994.82,0.21
2026-08-05T11:29:03.491097+05:30,pythondevice01,25.88,41.66,990.52,0.73
2026-08-05T11:29:05.772816+05:30,pythondevice01,32.81,77.65,1022.25,0.68
2026-08-05T11:29:08.082577+05:30,pythondevice01,32.16,68.97,1018.43,0.49
2026-08-05T11:29:10.875848+05:30,pythondevice01,34.22,66.81,1027.19,0.34
2026-08-05T11:29:13.219372+05:30,pythondevice01,24.39,60.04,1023.66,0.81
2026-08-05T11:29:16.836370+05:30,pythondevice01,29.35,68.99,1027.31,0.75
2026-08-05T11:29:19.891035+05:30,pythondevice01,24.47,42.16,1021.95,0.95
2026-08-05T11:29:22.931281+05:30,pythondevice01,21.38,53.79,994.06,0.13
2026-08-05T11:29:25.157163+05:30,pythondevice01,32.22,52.72,1005.37,0.29
2026-08-05T11:29:27.376140+05:30,pythondevice01,32.86,75.55,1025.15,0.19
2026-08-05T11:29:30.648255+05:30,pythondevice01,33.23,66.48,1005.48,0.26
2026-08-05T11:29:35.177900+05:30,pythondevice01,31.98,42.87,1005.78,0.97
2026-08-05T11:29:38.868137+05:30,pythondevice01,26.77,46.55,1006.81,0.59
2026-08-05T11:29:41.754063+05:30,pythondevice01,29.96,58.99,1004.33,0.43
2026-08-05T11:29:44.801757+05:30,pythondevice01,32.54,65.49,998.92,0.42
2026-08-05T11:29:47.030141+05:30,pythondevice01,32.42,73.93,997.7,0.24
2026-08-05T11:29:49.436694+05:30,pythondevice01,21.63,53.44,1014.84,0.86
2026-08-05T11:29:51.748921+05:30,pythondevice01,22.52,70.18,995.73,0.53
2026-08-05T11:29:54.036316+05:30,pythondevice01,22.61,44.29,1021.06,0.64
2026-08-05T11:29:56.482685+05:30,pythondevice01,32.95,72.91,1018.8,0.7
2026-08-05T11:29:59.056628+05:30,pythondevice01,28.49,78.67,991.35,0.49
2026-08-05T11:30:02.290561+05:30,pythondevice01,20.24,79.72,990.52,0.95
2026-08-05T11:30:04.983297+05:30,pythondevice01,27.37,59.55,1012.84,0.19
2026-08-05T11:30:07.468548+05:30,pythondevice01,29.21,56.24,997.41,0.68
2026-08-05T11:30:09.974690+05:30,pythondevice01,33.4,47.46,1014.63,0.42
2026-08-05T11:30:12.221690+05:30,pythondevice01,31.19,46.52,1002.59,0.53
2026-08-05T11:30:19.278969+05:30,pythondevice01,30.89,67.86,1010.1,0.25
2026-08-05T11:30:22.161214+05:30,pythondevice01,32.84,77.93,1010.08,0.32
2026-08-05T11:30:24.491295+05:30,pythondevice01,33.86,55.3,998.97,0.73
2026-08-05T11:30:27.053931+05:30,pythondevice01,21.91,63.74,1003.18,0.47
2026-08-05T11:30:30.203105+05:30,pythondevice01,34.43,42.68,1002.54,0.62
2026-08-05T11:30:32.786586+05:30,pythondevice01,31.07,57.59,1025.93,0.96
2026-08-05T11:30:36.503153+05:30,pythondevice01,20.59,62.23,993.44,0.54
2026-08-05T11:30:39.290643+05:30,pythondevice01,27.46,63.33,1014.68,0.91
2026-08-05T11:30:42.367297+05:30,pythondevice01,31.0,54.39,999.03,0.7
2026-08-05T11:30:45.084255+05:30,pythondevice01,30.75,53.91,1016.38,0.3
2026-08-05T11:30:48.474667+05:30,pythondevice01,32.82,53.17,997.65,0.73
2026-08-05T11:30:52.446778+05:30,pythondevice01,20.86,75.33,1023.24,0.69
2026-08-05T11:30:54.880494+05:30,pythondevice01,29.01,73.67,995.08,0.71
2026-08-05T11:30:57.213597+05:30,pythondevice01,33.84,64.07,1025.92,0.37
2026-08-05T11:30:59.529972+05:30,pythondevice01,22.85,64.71,998.0,0.98
2026-08-05T11:31:01.838402+05:30,pythondevice01,22.11,48.58,998.34,0.69
2026-08-05T11:31:04.242797+05:30,pythondevice01,20.59,43.65,1010.32,0.67
2026-08-05T11:31:06.493240+05:30,pythondevice01,32.76,53.07,1026.12,0.59
2026-08-05T11:31:09.485686+05:30,pythondevice01,25.97,55.03,998.64,0.61
2026-08-05T11:31:11.889727+05:30,pythondevice01,34.76,64.9,1002.14,0.1
2026-08-05T11:31:14.164735+05:30,pythondevice01,29.69,65.01,1019.92,0.46
2026-08-05T11:31:16.694925+05:30,pythondevice01,26.29,50.9,1016.68,0.34
2026-08-05T11:31:19.922271+05:30,pythondevice01,28.84,63.08,1015.36,0.6
2026-08-05T11:31:22.555233+05:30,pythondevice01,25.0,66.37,993.99,0.3
2026-08-05T11:31:24.789709+05:30,pythondevice01,27.13,63.91,1011.49,0.9
2026-08-05T11:31:27.057120+05:30,pythondevice01,26.57,72.39,996.42,0.89
2026-08-05T11:31:29.525041+05:30,pythondevice01,25.56,68.96,1017.98,0.97
2026-08-05T11:31:31.748052+05:30,pythondevice01,28.26,69.78,1008.27,0.48
2026-08-05T11:31:34.267802+05:30,pythondevice01,20.06,71.08,1020.28,0.32
2026-08-05T11:31:36.544824+05:30,pythondevice01,25.02,58.01,999.03,0.31
2026-08-05T11:31:38.998721+05:30,pythondevice01,22.63,54.87,1018.32,0.66
2026-08-05T11:31:41.464946+05:30,pythondevice01,33.3,57.24,1009.03,0.85
2026-08-05T11:31:43.807023+05:30,pythondevice01,29.64,41.17,1013.13,0.71
2026-08-05T11:31:46.217954+05:30,pythondevice01,30.17,61.76,1021.2,0.88
2026-08-05T11:31:48.501282+05:30,pythondevice01,24.11,42.58,1023.88,0.21
2026-08-05T11:31:50.798984+05:30,pythondevice01,25.73,78.57,995.01,0.11
2026-08-05T11:31:53.028224+05:30,pythondevice01,31.31,51.23,998.51,0.24
2026-08-05T11:31:55.301841+05:30,pythondevice01,32.39,48.91,1025.16,0.81
2026-08-05T11:31:57.718709+05:30,pythondevice01,28.99,50.86,994.66,0.38
2026-08-05T11:32:00.113326+05:30,pythondevice01,30.61,78.46,992.19,0.81
2026-08-05T06:13:36.873021+00:00,pythondevice01,22.07,73.69,1026.59,0.93
2026-08-05T06:13:48.050653+00:00,pythondevice01,28.03,70.13,1001.02,0.94
2026-08-05T06:13:50.269731+00:00,pythondevice01,34.13,59.3,1024.45,0.9
2026-08-05T06:13:52.531487+00:00,pythondevice01,29.7,42.01,1028.42,0.87
2026-08-05T06:13:54.773489+00:00,pythondevice01,33.44,48.42,1025.44,0.63
2026-08-05T06:13:57.073711+00:00,pythondevice01,32.34,63.63,1009.93,0.36
2026-08-05T06:13:59.309866+00:00,pythondevice01,24.77,64.09,1019.67,0.78
2026-08-05T06:14:01.550915+00:00,pythondevice01,25.76,50.96,1025.86,0.17
2026-08-05T06:14:03.889648+00:00,pythondevice01,21.75,47.38,1008.17,0.78
2026-08-05T06:14:06.089855+00:00,pythondevice01,20.9,78.04,1001.88,0.68
2026-08-05T06:14:08.304506+00:00,pythondevice01,21.76,54.35,1011.73,0.61
2026-08-05T06:14:10.609418+00:00,pythondevice01,20.63,59.67,995.52,0.16
2026-08-05T06:14:12.829252+00:00,pythondevice01,27.99,68.06,1027.78,0.7
2026-08-05T06:14:15.093063+00:00,pythondevice01,34.18,64.81,1024.22,0.86
2026-08-05T06:14:17.335640+00:00,pythondevice01,22.89,56.35,1021.88,0.63
2026-08-05T06:14:19.581218+00:00,pythondevice01,32.52,47.21,1024.58,0.45
2026-08-05T06:14:21.860925+00:00,pythondevice01,25.75,59.82,1008.42,0.89
2026-08-05T11:28:17.166338+05:30,pythondevice01,22.8,49.53,1001.1,0.36
2026-08-05T11:28:19.481661+05:30,pythondevice01,22.43,71.31,1022.51,0.84
2026-08-05T11:28:21.725535+05:30,pythondevice01,28.61,47.95,1017.46,0.56
2026-08-05T11:28:24.843074+05:30,pythondevice01,30.75,78.24,999.27,0.68
2026-08-05T11:28:27.182130+05:30,pythondevice01,24.94,54.11,1014.12,0.42
2026-08-05T11:28:30.172106+05:30,pythondevice01,23.76,68.69,997.26,0.4
2026-08-05T11:28:32.742657+05:30,pythondevice01,24.55,41.51,1011.85,0.46
2026-08-05T11:28:35.278531+05:30,pythondevice01,26.93,78.62,1028.67,0.5
2026-08-05T11:28:39.614587+05:30,pythondevice01,26.28,64.7,1003.91,0.8
2026-08-05T11:28:42.324507+05:30,pythondevice01,33.34,74.38,1011.5,0.31
2026-08-05T11:28:44.549397+05:30,pythondevice01,27.38,79.38,1004.04,0.39
2026-08-05T11:28:47.662977+05:30,pythondevice01,33.49,56.2,1022.42,0.25
2026-08-05T11:28:49.871096+05:30,pythondevice01,25.62,45.33,1005.0,0.86
2026-08-05T11:28:52.085201+05:30,pythondevice01,21.53,54.49,1005.03,0.31
